label	id	title	authors	year	nonapproved	journal	corrauthorlocation	ctgnctid	statedgoal_safety	statedgoal_dosage	statedgoal_efficacy	statedgoal_pd	statedgoal_pk	statedgoal_other	sponsor_govt	sponsor_biotech	sponsor_pharma	sponsor_nonprofit	sponsor_ns	industry	preclinical citation in same indication	phase	phasestated	multicentre	shape	size	border	row	subindication	stage	conflictofinterest_disclosed	conflictofinterest	effectsize	randomisation	primary_outcome_blinding	allocation_blinding	description_of_withdrawals	study_design_dose_esc	study_design_dose_find	study_design_dose_rang	study_design_hist_cont	study_design_parallel	study_design_futility	study_design_simon2	study_design_placebo	study_design_crossover	study_design_invasv	study_design_is_other	study_design_other	no_comp_cites	duration_of_treatment (weeks)	duration_of_tx_imputed	concomitant_meds	paediatric_subjects	burdens_invasive_res_procedures	burdens_wash_out	burdens_other	burdens_washout_text	burdens_other_text	burdens_none	results_primary_endpoint	colour	results_toxicity	results_assessment_risk_benefit	stats_measure	clinicalinterest	Alpha	Beta	Min	Thres	date_of_pt_enrolment	date_of_closure	pub_date	query	bounce	sent may 1	response	address	total n	n receiving su evaluable for response	ORR n	G3-4	G3-5	Deaths	number of citations	novel citations	cited < 2 years	cited < 3 years
50	1686	Phase II study of sunitinib malate in head and neck squamous cell carcinoma	"N. W. Choong, M. Kozloff, D. Taber, H. S. Hu, J. Wade, 3rd, P. Ivy, T. G. Karrison, A. Dekker, E. E. Vokes and E. E. W. Cohen"	2010	1	Investigational New Drugs	United States	n/a	0	NULL	0	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	HNC	metastatic and/or recurrent	Refractory	Not disclosed	Unclear	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	12	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Unfavourable	None	No	0.1	0.1	10%	30%	06.08.01	09.03.01	09.08.04						22	22	1	4	4	0	6	2	0	1
23	1643	"Phase II study of sunitinib malate, a multitargeted tyrosine kinase inhibitor in patients with relapsed or refractory soft tissue sarcomas. Focus on three prevalent histologies: Leiomyosarcoma, liposarcoma and malignant fibrous histiocytoma"	"S. Tariq Mahmood, S. Agresta, C. E. Vigil, X. Zhao, G. Han, G. D'Amato, C. E. Calitri, M. Dean, C. Garrett, M. J. Schell, S. Antonia and A. Chiappori"	2011	1	International Journal of Cancer	United States	NCT00400569	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	Soft tissue sarcoma	"Metastatic liposarcoma, leiomyosarcoma and malignant fibrous histiocytoma"	Refractory	Disclosed	Conflict	n/a	No	No	No	No	NULL	0	0	NULL	NULL	NULL	1	NULL	NULL	NULL	0	NULL	None	8	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	95 CI	Retest	0.1	0.14	5%	15%	06.09.01	07.08.01	11.03.25						48	47	0	5	5	0	1	0	0	0
69	1952	Phase II study of sunitinib in patients with metastatic urothelial cancer	"D. J. Gallagher, M. I. Milowsky, S. R. Gerst, N. Ishill, J. Riches, A. Regazzi, M. G. Boyle, A. Trout, A.-M. Flaherty and D. F. Bajorin"	2010	1	Journal of Clinical Oncology	United States	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	1	Phase 2	Explicit	Single	circle	1.5 cm	thick	Urothelial	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	9.4	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	p-value	Retest	0.05	0.1	5%	20%	06.09.01	09.01.01	10.02.08						77	77	4	7	8	1	11	6	4	7
43	2906	Phase II trial of continuous once-daily dosing of sunitinib as first-line treatment in patients with metastatic renal cell carcinoma	"Barrios CH, Hernandez-Barajas D, Brown MP et al"	2009	0	"34th congress of the European Society for Medical Oncology, Berlin, Germany, September 20Ð24 (Poster presenta- tion; Abstract P-7122)"	Brazil	NCT00338884	1	NULL	1	NULL	1	1	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	"Metastases, treatment-naive, clear cell histology"	First line	Disclosed	Conflict	37%	No	No	No	Yes	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	45	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes				37%	06.09.01	09.06.01	11.09.06						120	119	42			2	5	0	2	2
70	777	Phase II study of sunitinib in patients with primary or post-polycythemia vera/essential thrombocythemia myelofibrosis	"E. Apostolidou, H. Kantarjian, D. Thomas, I. Burger, G. Borthakur and S. Verstovsek"	2010	1	"Clinical lymphoma, myeloma & leukemia"	United States	n/a	1	NULL	1	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	Myelofibrosis	n/a	Refractory	Disclosed	No conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	Gehan 2-stage design	None	22.5	No	No	None	1	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	None	No	0.5	0.5	5%	20%	06.10.01	07.03.01	10.08.01						14	14	0	3	3	0	2	0	0	0
15	1558	Sunitinib malate in the treatment of recurrent or persistent uterine leiomyosarcoma: a Gynecologic Oncology Group phase II study	"M. L. Hensley, M. W. Sill, D. R. Scribner, Jr., J. Brown, R. L. Debernardo, E. M. Hartenbach, C. K. McCourt, J. R. Bosscher and P. A. Gehrig"	2009	1	Gynecologic Oncology	United States	n/a	0	NULL	0	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Uterine leiomyosarcoma	recurrent or persistant	Refractory	Disclosed	No conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	26	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	95 CI	No	0.084	0.11	10%	30%	06.10.02	07.05.21	09.10.06	1		1	answered	hensleym@mskcc.org 	25	25	2	7	8	1	18	18	2	2
13	719	Phase I and pharmacokinetic study of sunitinib in pediatric patients with refractory solid tumors: a children's oncology group study	"S. G. Dubois, S. Shusterman, A. M. Ingle, C. H. Ahern, J. M. Reid, B. Wu, S. Baruchel, J. Glade-Bender, P. Ivy, H. E. Grier, P. C. Adamson and S. M. Blaney"	2011	1	Clinical Cancer Research	United States	NCT00387920	NULL	1	1	1	1	NULL	1	NULL	1	1	NULL	1	1	Phase 1	Explicit	Multi				P1	pediatric	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	6	Yes	No	All	NULL	NULL	NULL	NULL	NULL	0	Positive		Unacceptable	Inconclusive	None	Retest					06.10.16	11.03.18	11.06.20	1		1	answered	duboiss@peds.ucsf.edu 	23	23	0	33	33	0	15	7	5	7
	2457	A Cancer and Leukemia Group B phase II study of sunitinib malate in patients with previously treated metastatic pancreatic adenocarcinoma (CALGB 80603)	"E. M. O'Reilly, D. Niedzwiecki, M. Hall, D. Hollis, T. Bekaii-Saab, T. Pluard, K. Douglas, G. K. Abou-Alfa, H. L. Kindler, R. L. Schilsky, R. M. Goldberg, Cancer and B. Leukemia Group"	2010	1	Oncologist	United States	NCT00397787 	NULL	NULL	1	NULL	NULL	NULL	1	NULL	1	NULL	NULL	1	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Pancreatic	Metastatic Pancreatic Adenocarcinoma 	Second line	Not disclosed	Unclear	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	Three stage	None	6	Yes	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Unacceptable	Unfavourable	None	No	n/a	n/a	n/a	10%	06.11.01	07.11.01	10.12.10						77	74	1	14	16	2				
6	1155	"An open-label, multicentre biomarker-oriented AIO phase II trial of sunitinib for patients with chemo-refractory advanced gastric cancer"	"M. Moehler, A. Mueller, J. T. Hartmann, M. P. Ebert, S. E. Al-Batran, P. Reimer, M. Weihrauch, F. Lordick, T. Trarbach, S. Biesterfeld, M. Kabisch, D. Wachtlin, P. R. Galle and O. German Arbeitsgemeinschaft Internistische"	2011	1	European Journal of Cancer	Germany	NCT00411151	NULL	NULL	1	NULL	NULL	1	1	NULL	NULL	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Gastric	adenocarcinoma	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	4	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Unfavourable	95 CI	Yes	0.05	0.104	5%	20%	06.12.01	11.01.01	11.05.09	1		1		moehler@mail.uni-mainz.de 	52	52	2	19	19	0	5	0	0	0
28	64	A phase II study of sunitinib in patients with recurrent epithelial ovarian and primary peritoneal carcinoma: an NCIC Clinical Trials Group Study	"J. J. Biagi, A. M. Oza, H. I. Chalchal, R. Grimshaw, S. L. Ellard, U. Lee, H. Hirte, J. Sederias, S. P. Ivy and E. A. Eisenhauer"	2011	1	Annals of Oncology	Canada	n/a	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	OC	n/a	Refractory	Disclosed	No conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	18	Yes	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Inconclusive	yellow	Acceptable	Inconclusive		Retest	0.12	0.11	5%	20%	07.01.01	08.04.01	10.08.12						31	31	1	5	5	0	10	0	0	2
34	1553	A phase II study of sunitinib in patients with locally advanced or metastatic cervical carcinoma: NCIC CTG Trial IND.184	"H. J. Mackay, A. Tinker, E. Winquist, G. Thomas, K. Swenerton, A. Oza, J. Sederias, P. Ivy and E. A. Eisenhauer"	2010	1	Gynecologic Oncology	Canada	n/a	NULL	NULL	0	NULL	NULL	NULL	1	NULL	NULL	1	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Cervical	"locally advanced squamous/adenosquamous/adenocarcinoma of the cervix, up to one therapy before, life expectancy <12, no antiagiogenic agents used and more!"	Refractory	Disclosed	No conflict	20%	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	None	12	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	95 CI	No	0.07	0.1	5%	20%	07.01.01	08.05.01	09.09.08						19	19	0	8	8	0	3	0	1	1
19	2056	Randomized phase II trial of sunitinib on an intermittent versus continuous dosing schedule as first-line therapy for advanced renal cell carcinoma	"R. J. Motzer, T. E. Hutson, M. R. Olsen, G. R. Hudes, J. M. Burke, W. J. Edenfield, G. Wilding, N. Agarwal, J. A. Thompson, D. Cella, A. Bello, B. Korytowsky, J. Yuan, O. Valota, B. Martell, S. Hariharan and R. A. Figlin"	2012	0	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	United States	NCT00267748	1	NULL	1	NULL	NULL	1	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	n/a	First line	Disclosed	Conflict	n/a	Yes	No	No	Yes	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	42.9	No	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes					07.01.01	08.06.01	12.03.19						292	292	88			3	3	1	1	3
38	2601	Phase II study of sunitinib malate following hepatic artery embolization for metastatic neuroendocrine tumors	"J. Strosberg, A. Cheema, T. Campos, T. Valone, L. Kvols and H. L. Moffitt"	2011	1	Pancreas	United States	n/a	1	NULL	1	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	NET	"metastatic, hepatic artery embolization"	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	52	No	No	None	NULL	NULL	1	NULL	Hepatic arterial embolization	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.1	0.1			07.01.01	10.04.01	12.02.08						39	39	28	6	6	0	3	1	0	1
64	349	Sunitinib in relapsed or refractory diffuse large B cell lymphoma: Results of a phase II multi-center study of the ncic clinical trials group	"R. Buckstein, J. Kuruvilla, N. Chua, C. Lee, A. D. Macdonald, A. J. Al-Tourah, A. Foo, W. Walsh, S. P. Ivy, M. Crump and E. Eisenhauer"	2009	1	Blood	Canada	n/a	1	NULL	1	1	NULL	NULL	NULL	NULL	NULL	1	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Lymphoma	"diffuse large B-cell lymphoma, relapsed or refractory"	Refractory	Disclosed	No conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	8	NULL	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	NULL	Unfavourable	95 CI	No	0.12	0.11	5%	20%	07.02.01	08.09.01	11.04.04						17	19	0	3	3	0	14	10	5	6
5	65	A phase II study of sunitinib in recurrent and/or metastatic adenoid cystic carcinoma (ACC) of the salivary glands: Current progress and challenges in evaluating molecularly targeted agents in ACC	"N. G. Chau, S. J. Hotte, E. X. Chen, S. F. Chin, S. Turner, L. Wang and L. L. Siu"	2012	1	Annals of Oncology	Canada	NCT00886132	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Adenoid cystic carcinoma	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	26	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Unfavourable	None	Retest			5%	20%	07.02.01	08.12.01	11.11.11						14	14	0	5	5	0	8	7	1	2
3	154	Preclinical and clinical activity of sunitinib in patients with cisplatin-refractory or multiply relapsed germ cell tumors: a Canadian Urologic Oncology Group/German Testicular Cancer Study Group cooperative study	"K. Oechsle, F. Honecker, T. Cheng, F. Mayer, P. Czaykowski, E. Winquist, L. Wood, M. Fenner, S. Glaesener, J. T. Hartmann, K. Chi, C. Bokemeyer and C. Kollmannsberger"	2011	1	Annals of Oncology	Canada	NCT00371553	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	1	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Germ cell	cisplatin-refractory	Refractory	Disclosed	No conflict	n/a	No	No	No	No	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	6	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	95 CI	Retest	0.05	0.2	5%	20%	07.02.01	10.01.01	11.03.17						32	33	0	2	2	0	6	6	1	1
31	1956	Phase II study of sunitinib in recurrent or metastatic squamous cell carcinoma of the head and neck: GORTEC 2006-01	"J.-P. H. Machiels, S. Henry, S. Zanetta, M.-C. Kaminsky, N. Michoux, D. Rommel, S. Schmitz, E. Bompas, A.-F. Dillies, S. Faivre, A. Moxhon, T. Duprez and J. Guigay"	2010	1	Journal of Clinical Oncology	Belgium	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	HNC	Palliative 	Refractory	Disclosed	Conflict	25%	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	7	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	95 CI	Retest	0.15	0.1	10%	25%	07.03.01	08.08.01	09.11.16						38	38	1	12	12	0	3	1	0	1
35	1687	Phase II trial of sunitinib in patients with metastatic non-clear cell renal cell carcinoma	"A. M. Molina, D. R. Feldman, M. S. Ginsberg, G. Kroog, S. K. Tickoo, X. Jia, M. Georges, S. Patil, M. S. Baum, V. E. Reuter and R. J. Motzer"	2012	0	Investigational New Drugs	United States	n/a	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	RCC	"metastatic, mainly papillary RCC"	Refractory	Not disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	23.8	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Unfavourable	95 CI	No	0.05	0.2	5%	20%	07.03.01	09.10.01	12.02.01						23	23	1			0	11	7	0	1
26	1907	Multicenter phase II trial of sunitinib in the treatment of nongastrointestinal stromal tumor sarcomas	"S. George, P. Merriam, R. G. Maki, A. D. Van den Abbeele, J. T. Yap, T. Akhurst, D. C. Harmon, G. Bhuchar, M. M. O'Mara, D. R. D'Adamo, J. Morgan, G. K. Schwartz, A. J. Wagner, J. E. Butrynski, G. D. Demetri and M. L. Keohan"	2009	1	Journal of Clinical Oncology	United States	 NCT00474994	NULL	NULL	0	NULL	NULL	NULL	1	NULL	1	1	NULL	1	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Soft tissue sarcoma	Fewer than 3 prior cytotoxic therapies	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	None	24	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	None	Retest	0.05	0.1	5%	20%	07.04.01	08.03.01	09.05.18						53	53	0	5	5	0	4	1	3	4
27	2142	Brief report: A phase II study of sunitinib in malignant pleural mesothelioma. the NCIC clinical trials group	"S. A. Laurie, A. Gupta, Q. Chu, C. W. Lee, W. Morzycki, R. Feld, A. H. Foo, J. Seely, J. R. Goffin, F. Laberge, N. Murray, S. Rao, G. Nicholas, J. Laskin, T. Reiman, D. Sauciuc and L. Seymour"	2011	1	Journal of Thoracic Oncology	Canada	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	0	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	Malignant pleural mesothelioma	Cohort 1: <=3 prior lines of cytotoxic chemotherapy; Cohort 2: chemotherapy-naive 	Second line	Disclosed	No conflict	n/a	No	No	No	No	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	18	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Unfavourable	None	No	0.1	0.1	10%	30%	07.04.01	09.06.01	11.11.01						35	35	0	6	6	0	0	0	0	0
54	480	"A phase I and pharmacokinetic study of sunitinib administered daily for 2 weeks, followed by a 1-week off period"	"C. D. Britten, F. Kabbinavar, J. R. Hecht, C. L. Bello, J. Li, C. Baum and D. Slamon"	2008	1	Cancer Chemotherapy & Pharmacology	United States	n/a	1	NULL	0	NULL	1	1	1	NULL	1	NULL	NULL	1	1	Phase 1	Explicit	Single				P1	n/a	Refractory	Not disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		None	9	Yes	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Positive		Acceptable	Favourable	None	Yes					07.04.15	08.01.01	07.05.16	1	bounce	0		cbritten@mednet.ucla.edu 	12	12	1	3	3	0	13	6	5	6
4	2100	Phase II study of sunitinib malate in patients with recurrent high-grade glioma	"B. Neyns, J. Sadones, C. Chaskis, M. Dujardin, H. Everaert, S. Lv, J. Duerinck, O. Tynninen, N. Nupponen, A. Michotte and J. De Greve"	2011	1	Journal of Neuro-Oncology	Belgium	n/a	NULL	NULL	0	NULL	NULL	NULL	0	NULL	1	1	NULL	1	1	Phase 2	Explicit	Single	circle	1.5 cm	thick	Glioma	High-grade	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	4.8	No	No	None	NULL	1	NULL	14 days	NULL	0	Negative	red	Unacceptable	Unfavourable		No	0.1	0.1	5%	20%	07.06.01	08.03.01	10.09.25						21	21	0	4	4	0	4	1	0	1
32	2449	Sunitinib malate for the treatment of pancreatic neuroendocrine tumors.[Erratum appears in N Engl J Med. 2011 Mar 17;364(11):1082]	"E. Raymond, L. Dahan, J.-L. Raoul, Y.-J. Bang, I. Borbath, C. Lombard-Bohas, J. Valle, P. Metrakos, D. Smith, A. Vinik, J.-S. Chen, D. Horsch, P. Hammel, B. Wiedenmann, E. Van Cutsem, S. Patyna, D. R. Lu, C. Blanckmeister, R. Chao and P. Ruszniewski"	2011	1	New England Journal of Medicine	France	NCT00428597	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	1	Phase 3	Explicit	Multi	circle	2 cm	thick	NET	well-differentiated	NULL	Disclosed	Conflict	n/a	Yes	Yes	Yes	Yes	NULL	NULL	NULL	NULL	1	NULL	NULL	1	NULL	NULL	NULL	NULL	None	18.2	Yes	Yes	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05	0.1			07.06.01	09.04.01	11.02.10						171	86	8	12	13	1	7	4	0	2
42	2825	A phase II study of presurgical sunitinib in patients with metastatic clear-cell renal carcinoma and the primary tumor in situ	"A. Bex, C. Blank, W. Meinhardt, H. van Tinteren, S. Horenblas and J. Haanen"	2011	0	Urology	Netherlands	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	RCC	"Metastatic Clear-cell Renal Carcinoma, Primary tumour in situ"	Refractory	Disclosed	Conflict	n/a	No	No	No	No	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	12	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Acceptable	Inconclusive	None	Retest	0.05	0.2	10%	25%	07.06.01	10.11.02	11.07.29	1		1	answered	a.bex@nki.nl 	22	22	7			0	5	1	2	3
52	2164	Phase II trial of sunitinib maintenance therapy after platinum-based chemotherapy in patients with extensive-stage small cell lung cancer	"B. J. Schneider, S. M. Gadgeel, N. Ramnath, A. J. Wozniak, G. K. Dy, S. Daignault and G. P. Kalemkerian"	2011	1	Journal of Thoracic Oncology: Official Publication of the International Association for the Study of Lung Cancer	United States	n/a	0	NULL	0	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	SCLC	Extensive-Stage	Second line	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	17.3	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	95 CI	No	0.05	0.2			07.07.01	09.01.01	11.06.01						16	16	0	4	4	0	0	0	0	0
14	720	"Phase II study of daily sunitinib in FDG-PET-positive, iodine-refractory differentiated thyroid cancer and metastatic medullary carcinoma of the thyroid with functional imaging correlation"	"L. L. Carr, D. A. Mankoff, B. H. Goulart, K. D. Eaton, P. T. Capell, E. M. Kell, J. E. Bauman and R. G. Martins"	2010	1	Clinical Cancer Research	United States	n/a	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	Phase 2	Explicit	Single	circle	1.5 cm	thick	Thyroid	n/a	Refractory	Not disclosed	Conflict	n/a	No	No	No	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	None	1	No	Unclear	None	NULL	NULL	NULL	NULL	NULL	0	Inconclusive	yellow	Acceptable	Favourable	95 CI	Yes	0.05	0.08	10%	33%	07.08.01	09.02.01	10.09.16						35	35	11	12	13	1	4	3	2	3
22	2468	Continuous Sunitinib treatment in patients with advanced hepatocellular carcinoma: a Swiss Group for Clinical Cancer Research (SAKK) and Swiss Association for the Study of the Liver (SASL) multicenter phase II trial (SAKK 77/06)	"D. Koeberle, M. Montemurro, P. Samaras, P. Majno, M. Simcock, A. Limacher, S. Lerch, K. Kovacs, R. Inauen, V. Hess, P. Saletti, M. Borner, A. Roth and G. Bodoky"	2010	1	Oncologist	Switzerland	NCT00699374	NULL	NULL	0	NULL	NULL	NULL	1	NULL	1	NULL	0	1	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	HCC	n/a	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	None	12	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	95 CI	Yes	0.05	0.1			07.09.01	08.08.01	10.03.04						45	45	1	12	12	0	8	6	5	5
48	2182	Prospective clinical trial of preoperative sunitinib in patients with renal cell carcinoma	"N. J. Hellenthal, W. Underwood, R. Penetrante, A. Litwin, S. Zhang, G. E. Wilding, B. T. Teh and H. L. Kim"	2010	0	Journal of Urology	United States	n/a	0	NULL	0	NULL	NULL	NULL	0	NULL	0	NULL	NULL	0	0	Phase 2	Not stated	Single	circle	1.5 cm	thick	RCC	Candidate for nephrectomy	Refractory	Disclosed	Conflict	n/a	No	No	No	Yes	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	None	13	Yes	No	None	NULL	NULL	NULL	NULL	NULL	0	Positive	green	Acceptable	Favourable	None	Yes	0.05				07.09.01	09.04.01	10.09.01						20	20	1			0	4	2	2	2
37	2218	"Temsirolimus and bevacizumab, or sunitinib, or interferon alfa and bevacizumab for patients with advanced renal cell carcinoma (TORAVA): a randomised phase 2 trial"	"S. Negrier, G. Gravis, D. Perol, C. Chevreau, R. Delva, J.-O. Bay, E. Blanc, C. Ferlay, L. Geoffrois, F. Rolland, E. Legouffe, E. Sevin, B. Laguerre and B. Escudier"	2011	0	Lancet Oncology	France	NCT00619268	NULL	NULL	0	NULL	NULL	NULL	1	NULL	1	NULL	NULL	1	0	Phase 2	Explicit	Multi	circle	1.5 cm	thick	RCC	untreated metastatic RCC	Refractory	Disclosed	Conflict	n/a	Yes	Yes	Yes	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	Fleming's single stage	None	35.5	No	No	None	NULL	NULL	NULL	NULL	NULL	0	Negative	red	Unacceptable	Unfavourable	95 CI	No					08.03.01	09.05.01	11.06.10						171	42	12			0	6	6	3	4
